school,cost
Rutgers University-Camden,29130
Rutgers University-New Brunswick,32022
Rutgers University-Newark,27960
Saint Peter's University,47570
Seton Hall University,60646
Saint Elizabeth University,51068
Stevens Institute of Technology,70591
Stockton University,30721
Talmudical Academy-New Jersey,20700
The College of New Jersey,35502
William Paterson University of New Jersey,25327
Eastern New Mexico University-Main Campus,17897
Institute of American Indian and Alaska Native Culture and Arts Development,22036
New Mexico Highlands University,18299
New Mexico Institute of Mining and Technology,22878
University of New Mexico-Main Campus,19351
New Mexico State University-Main Campus,19760
University of the Southwest,27310
Western New Mexico University,17772
Vaughn College of Aeronautics and Technology,46339
Adelphi University,53535
Albany College of Pharmacy and Health Sciences,50326
Alfred University,50643
Bard College,74464
Barnard College,77758
Beth Hamedrash Shaarei Yosher Institute,15650
Boricua College,22086
Canisius College,39217
Cazenovia College,51761
Central Yeshiva Tomchei Tmimim Lubavitz,23867
Clarkson University,69456
Colgate University,75000
Metropolitan College of New York,34022
Columbia University in the City of New York,79750
Concordia College,44662
Cooper Union for the Advancement of Science and Art,61775
Cornell University,75204
CUNY Bernard M Baruch College,13569
CUNY Brooklyn College,13802
College of Staten Island CUNY,15176
CUNY City College,13667
CUNY Hunter College,13219
CUNY John Jay College of Criminal Justice,13549
CUNY Lehman College,13704
CUNY Medgar Evers College,15448
CUNY New York City College of Technology,13563
CUNY Queens College,13768
CUNY York College,13948
D'Youville College,38790
Daemen University,40900
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,21683
Dominican College of Blauvelt,43424
Elmira College,48133
Fordham University,71388
Hamilton College,72190
Hartwick College,60479
Hilbert College,31358
Hobart William Smith Colleges,74375
Hofstra University,62917
Houghton College,44952
Iona College,54052
Ithaca College,64006
Jewish Theological Seminary of America,79512
The Juilliard School,73642
Kehilath Yakov Rabbinical Seminary,14125
Keuka College,50240
Le Moyne College,49194
Long Island University,50591
Machzikei Hadath Rabbinical College,17687
Manhattan College,57992
Manhattan School of Music,70925
Manhattanville College,51214
Marist College,60670
Marymount Manhattan College,59167
Medaille College,36840
Mercy College,29754
Mesivta Torah Vodaath Rabbinical Seminary,20260
Mesivtha Tifereth Jerusalem of America,16750
Molloy College,46531
Mount Saint Mary College,47103
College of Mount Saint Vincent,51240
Nazareth College,51405
The New School,71907
New York University,73759
Niagara University,47384
New York Institute of Technology,49465
New York School of Interior Design,53522
Nyack College,38589
Pace University,63709
Paul Smiths College of Arts and Science,47001
Davis College,26841
Pratt Institute-Main,69497
Rabbinical Academy Mesivta Rabbi Chaim Berlin,19450
Rabbinical College Bobover Yeshiva Bnei Zion,14878
Rabbinical College of Long Island,17700
Rabbinical Seminary of America,19100
Rensselaer Polytechnic Institute,73816
Roberts Wesleyan College,45599
Rochester Institute of Technology,61063
University of Rochester,75190
Russell Sage College,46287
St Bonaventure University,50646
St. Francis College,32776
St Lawrence University,73045
The College of Saint Rose,48125
St. Thomas Aquinas College,47572
Sarah Lawrence College,74123
Siena College,58200
Skidmore College,74140
St. Joseph's University-New York,35122
Saint John Fisher College,49242
St. John's University-New York,55877
SUNY College of Technology at Canton,23026
SUNY College of Agriculture and Technology at Cobleskill,25633
Farmingdale State College,16856
SUNY at Albany,26563
Binghamton University,28010
University at Buffalo,26958
Stony Brook University,26270
SUNY College of Environmental Science and Forestry,29680
SUNY Polytechnic Institute,23194
SUNY Brockport,24340
SUNY Buffalo State,23111
SUNY Cortland,25585
SUNY at Fredonia,23327
SUNY College at Geneseo,26266
State University of New York at New Paltz,25615
SUNY Oneonta,25628
SUNY College at Oswego,24970
SUNY College at Potsdam,23964
SUNY at Purchase College,27991
SUNY College at Old Westbury,19786
SUNY College at Plattsburgh,25786
SUNY Empire State College,19726
SUNY Maritime College,26864
Syracuse University,72780
Talmudical Seminary Oholei Torah,22246
Talmudical Institute of Upstate New York,14550
Torah Temimah Talmudical Seminary,29610
Touro College,33523
Union College,69879
United Talmudical Seminary,23926
United States Merchant Marine Academy,9565
Utica University,34427
Vassar College,75203
Villa Maria College,30460
Wagner College,61877
Webb Institute,72690
Wells College,46640
Yeshiva Karlin Stolin,18200
Yeshiva Derech Chaim,20207
Yeshiva of Nitra Rabbinical College,22800
Yeshiva Shaar Hatorah,18780
Yeshiva University,64050
Yeshivath Viznitz,18476
Appalachian State University,19661
Barton College,46539
Belmont Abbey College,31943
Bennett College,34755
Brevard College,43036
Campbell University,51131
Catawba College,44235
Chowan University,37161
Davidson College,70744
Duke University,77846
East Carolina University,22301
Elizabeth City State University,12754
Elon University,52587
Fayetteville State University,16623
Gardner-Webb University,45333
Greensboro College,30302
Guilford College,53479
High Point University,54296
Johnson C Smith University,33444
Lees-McRae College,43437
Lenoir-Rhyne University,50232
Livingstone College,28312
Mars Hill University,45406
Meredith College,50390
Methodist University,55751
Montreat College,40841
University of Mount Olive,32055
North Carolina A & T State University,18348
University of North Carolina at Asheville,20127
University of North Carolina at Chapel Hill,24220
University of North Carolina at Charlotte,23478
University of North Carolina at Greensboro,19179
North Carolina Central University,24075
University of North Carolina School of the Arts,21755
North Carolina State University at Raleigh,24202
North Carolina Wesleyan College,44530
University of North Carolina Wilmington,24837
William Peace University,47624
University of North Carolina at Pembroke,15952
Pfeiffer University,44387
Queens University of Charlotte,49480
Mid-Atlantic Christian University,30542
Saint Augustine's University,32073
Salem College,44461
Shaw University,29686
St. Andrews University,44686
Southeastern Baptist Theological Seminary,18955
Wake Forest University,74135
Warren Wilson College,52526
Wingate University,49769
Winston-Salem State University,20382
Western Carolina University,18462
Dickinson State University,17708
University of Jamestown,34565
University of Mary,30194
Mayville State University,18727
Minot State University,16896
University of North Dakota,23119
North Dakota State University-Main Campus,22201
Trinity Bible College and Graduate School,28799
Valley City State University,18712
University of Akron Main Campus,24604
Allegheny Wesleyan College,13524
Art Academy of Cincinnati,44864
Ashland University,33775
Baldwin Wallace University,48655
Bluffton University,48205
